--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR |GRASS/POISON     |  46|  61|  56|  83|  27|  45|OVERGROW    |-------     |
  2|IVYSAUR   |GRASS/POISON     | 116|  73|  55|  52|  35|  75|OVERGROW    |-------     |
  3|VENUSAUR  |GRASS/POISON     |  30|  78|  26| 148| 224|  19|OVERGROW    |-------     |
  4|CHARMANDER|FIRE             |  71|  24|  81|  40|  14|  79|BLAZE       |-------     |
  5|CHARMELEON|FIRE             |  21|  75|  66| 103|  57|  82|BLAZE       |-------     |
  6|CHARIZARD |FIRE/FLYING      |  57|  25| 136|  78| 118| 120|BLAZE       |-------     |
  7|SQUIRTLE  |WATER            |  45|  22|  85|  99|  45|  18|TORRENT     |-------     |
  8|WARTORTLE |WATER            |  88|  62|  63|  20|  70| 102|TORRENT     |-------     |
  9|BLASTOISE |WATER            | 117| 173|  38|  11|  55| 136|TORRENT     |-------     |
 10|CATERPIE  |BUG              |  45|  34|  19|  49|  21|  26|SHIELD DUST |-------     |
 11|METAPOD   |BUG              |  37|  11|  34|  38|  43|  42|SHED SKIN   |-------     |
 12|BUTTERFREE|BUG/FLYING       |  80|  15|  12|  86|  17| 174|COMPOUNDEYES|-------     |SILVERPOWDER (rare)
 13|WEEDLE    |BUG/POISON       |  42|  21|  59|  42|  12|  19|SHIELD DUST |-------     |
 14|KAKUNA    |BUG/POISON       |  32|  35|  37|  36|  35|  31|SHED SKIN   |-------     |
 15|BEEDRILL  |BUG/POISON       |  45|  70| 114|  91|  17|  47|SWARM       |-------     |POISON BARB (rare)
 16|PIDGEY    |NORMAL/FLYING    |  68|  45|  53|  32|  13|  40|KEEN EYE    |-------     |
 17|PIDGEOTTO |NORMAL/FLYING    |  74|  32|  55|  90|  11|  87|KEEN EYE    |-------     |
 18|PIDGEOT   |NORMAL/FLYING    | 157|  37|  80|  61|  58|  76|KEEN EYE    |-------     |
 19|RATTATA   |NORMAL           |  72|  36|  35|  50|  38|  22|RUN AWAY    |GUTS        |
 20|RATICATE  |NORMAL           |  58|  25| 109| 113|  37|  72|RUN AWAY    |GUTS        |ORAN BERRY (common), SITRUS BERRY (rare)
 21|SPEAROW   |NORMAL/FLYING    |  27|  68|  37|  33|  33|  64|KEEN EYE    |-------     |
 22|FEAROW    |NORMAL/FLYING    |  69|  96|  63|  71|  70|  73|KEEN EYE    |-------     |SHARP BEAK (rare)
 23|EKANS     |POISON           |  34|  19|  37|  51|  88|  59|INTIMIDATE  |SHED SKIN   |
 24|ARBOK     |POISON           |  54|  45| 110|  88|  27| 115|INTIMIDATE  |SHED SKIN   |POISON BARB (rare)
 25|PIKACHU   |ELECTRIC         | 127|  21|  21|  29|  27|  74|STATIC      |-------     |
 26|RAICHU    |ELECTRIC         |  62| 111| 114|  66|  30|  92|STATIC      |-------     |
 27|SANDSHREW |GROUND           |  38|  45|  29|  20|  82|  85|SAND VEIL   |-------     |
 28|SANDSLASH |GROUND           |  61|  89|  68|  58| 106|  68|SAND VEIL   |-------     |SOFT SAND (rare)
 29|NIDORAN♀  |POISON           |  43|  74|  58|  64|  20|  16|POISON POINT|-------     |
 30|NIDORINA  |POISON           |  87|  18|  55|  46|  71|  89|POISON POINT|-------     |
 31|NIDOQUEEN |POISON/GROUND    |  64| 142| 156|  13|  90|  29|POISON POINT|-------     |
 32|NIDORAN♂  |POISON           |  66|  41|  30|  34|  67|  35|POISON POINT|-------     |
 33|NIDORINO  |POISON           |  70|  86|  87|  67|  34|  22|POISON POINT|-------     |
 34|NIDOKING  |POISON/GROUND    | 138|  82|  28| 137|  38|  72|POISON POINT|-------     |
 35|CLEFAIRY  |NORMAL           |  80|  46|  76|  73|  30|  18|CUTE CHARM  |-------     |MOON STONE (rare)
 36|CLEFABLE  |NORMAL           |  46|  84|  46|  16| 121| 160|CUTE CHARM  |-------     |MOON STONE (rare)
 37|VULPIX    |FIRE             |  49|  35|  43|  15|  91|  67|FLASH FIRE  |-------     |RAWST BERRY (common)
 38|NINETALES |FIRE             |  33| 163|  27| 135| 111|  36|FLASH FIRE  |-------     |RAWST BERRY (common)
 39|JIGGLYPUFF|NORMAL           |  72|  75|  48|  22|  43|  11|CUTE CHARM  |-------     |ORAN BERRY (common)
 40|WIGGLYTUFF|NORMAL           |  55|  81|  96|  27| 114|  52|CUTE CHARM  |-------     |ORAN BERRY (common)
 41|ZUBAT     |POISON/FLYING    |  64|  11|  25|  40|  52|  53|INNER FOCUS |-------     |
 42|GOLBAT    |POISON/FLYING    |  27|  97| 106|  56|  84|  85|INNER FOCUS |-------     |
 43|ODDISH    |GRASS/POISON     |  85|  51|  18|  61|  25|  80|CHLOROPHYLL |-------     |
 44|GLOOM     |GRASS/POISON     |  61|  57|  70|  53|  88|  66|CHLOROPHYLL |-------     |
 45|VILEPLUME |GRASS/POISON     |  68| 120| 100|  57|  44|  91|CHLOROPHYLL |-------     |
 46|PARAS     |BUG/GRASS        | 106|  20|  30|  13|  66|  50|EFFECT SPORE|-------     |TINYMUSHROOM (common), BIG MUSHROOM (rare)
 47|PARASECT  |BUG/GRASS        |  51|  31|  98|  31| 135|  59|EFFECT SPORE|-------     |TINYMUSHROOM (common), BIG MUSHROOM (rare)
 48|VENONAT   |BUG/POISON       |  73|  26|  52|  28| 110|  16|COMPOUNDEYES|-------     |
 49|VENOMOTH  |BUG/POISON       |  47|  95|  14| 100| 107|  87|SHIELD DUST |-------     |SILVERPOWDER (rare)
 50|DIGLETT   |GROUND           |  39|  57|  54|  32|  20|  64|SAND VEIL   |ARENA TRAP  |
 51|DUGTRIO   |GROUND           |  47|  34|  77|  92|  76|  79|SAND VEIL   |ARENA TRAP  |
 52|MEOWTH    |NORMAL           |  56|  48|  47|  30|  88|  21|PICKUP      |-------     |NUGGET (rare)
 53|PERSIAN   |NORMAL           | 121|  30|  26|  50| 193|  21|LIMBER      |-------     |
 54|PSYDUCK   |WATER            |  62|  38|  59|  64|  51|  46|DAMP        |CLOUD NINE  |
 55|GOLDUCK   |WATER            | 123|  14| 117|  96| 117|  33|DAMP        |CLOUD NINE  |
 56|MANKEY    |FIGHTING         |  59|  42|  33|  67|  74|  30|VITAL SPIRIT|-------     |
 57|PRIMEAPE  |FIGHTING         |  78|  54|  74| 179|  48|  22|VITAL SPIRIT|-------     |
 58|GROWLITHE |FIRE             |  71|  81|  52|  75|  17|  54|INTIMIDATE  |FLASH FIRE  |RAWST BERRY (common)
 59|ARCANINE  |FIRE             | 178|  39| 125| 170|  30|  13|INTIMIDATE  |FLASH FIRE  |RAWST BERRY (common)
 60|POLIWAG   |WATER            |  40| 112|  11|  11|  40|  86|WATER ABSORB|DAMP        |
 61|POLIWHIRL |WATER            |  70|  85| 103|  44|  42|  42|WATER ABSORB|DAMP        |
 62|POLIWRATH |WATER/FIGHTING   |  90|  43| 125|  77| 116|  50|WATER ABSORB|DAMP        |
